reviewer_name,review_title,review
Amazon Customer,"Simple, Efficient, and Easy-Clean, with a Minor Pouring Quirk","If you're looking for a no-frills, reliable kettle, the Pigeon kettle is a solid choice. Here's my breakdown:

Pros:
Simple and User-Friendly: This kettle is incredibly easy to use, with just one switch to operate. Even someone unfamiliar with kettles will have no trouble figuring it out.
Fast Boiling: It delivers on its promise, boiling water in a speedy 10 seconds, perfect for those mornings when you need a quick cup of tea or coffee.
Easy Cleaning: The kettle's design makes cleaning a breeze. No complex nooks or crannies to tackle, just a quick wipe-down is all it takes.

Cons:
Minor Pouring Control: While not a deal-breaker, the pouring mouth could be a little more predictable. Sometimes, especially when dealing with the last bit of water, it can be tricky to control the flow, leading to potential spills.

Overall:
Despite the minor pouring quirk, the Pigeon kettle excels in its simplicity, efficiency, and ease of cleaning. If you prioritize these aspects in a kettle and don't mind a slightly less controlled pour, this is a great option to consider."
Havika Apang,Convenient but not long living,I had bought this product before and it got bad in a year. The lifespan of this product is not great but it is good to use for shorterm situations and it’s cheap.
Praveen Kumar Singh,Cord length is short,The product is good. Does the job well. The outer body gets warm so be careful when you're touching it. The mouth of the kettle was leaking then I got it replaced. I do not have the same problem now. The cord length is short if you want to keep it still in a place then you might look for a longer cord kettle.
Vivek Garg,Average Product,The lower machine gets faulty after few months.. Though got repaired.
Naveen Todi,Good product,"After using it for one month I can say the product is really good ,heats up really fast ,the only problem with this kettle is that outlet from where we pour water is very broad and hence home for dusts"
Amazon Customer,"Faulty product, leakage","I received this product yesterday and tried it out, this morning I found water at the base, leading me to check, there is a, trickle of water leakage at the bottom, due to which water accumulates at base. Attaching pictures. Please suggest return of product."
,Good product. Heats water quick,Product is very good. Heating water in just 2 minutes. Worth for money. Only dislike is the metal part is also hot when water is hot. Only the handle is not obsorbing the heat.
Fatin Jofil Beniz,Good quality,Overall good in cheap price. Best to use for personal one.
ESHU RAJPOOT,Best,Best electric kettle in this price
Bipad B.,Good product,Value for money
ISTIAQUE ALAM,serving the purpose without any issue till date.,serving the purpose without any issue till date.
Product quality was not good. My baby cloth evry time wet after 4 hours.,Nice,Good product
bharatpatel,Kitchen,Nice product
Placeholder,worth for this price range,"I ordered a pigeon 1.5ltr kettle. I got a defective product means the auto shutoff not working, i raised the complaint and returned it to the seller, and after one day I got a new one. Thanks for your response. nice kettle."
Plz replace it iwill order m size but send me xl size,Good 👍,Nice
Placeholder,Nice if you get under 500,If you get this under 500rs just go for it
Krishna M.,"Good,,agar इस में वोल्टेज कंटोलर होता तो फुल पैसा वसूल होता",Nice
Archana Prem Singh,Worth buying,Kettal look nice . Light weight.. Achi deal buy kiya ..
Priya kumari,Priya,Good product worth of money
S Ram mohan,Normal,Normal
Simple,Kattel 549,"I m filing the price in title this kattel is worth is in this price. I have no Problem in this product.
This product is good. This product is more better in witter"
D.Kannan,Wire,Wire length too short
Tiebold Grindle,"works fine, good product","works fine, good product"
Chandan,Good quality,Can be purchased
Sandhya Kumari,Good product,"I appove it, it very nice and durable."
Gulshan Dayma,Good at All,"Good product at this prices.
Handy to use it means user friendly."
Rahul Baruah,Plastic quality is better than others but metal part is thiner,I have used cello and Milton but I must say about the built quality in this one is better but I felt the metal is thinner than cello and Milton
Krishna Tiwari,Easy to use,All good 👍
rajith,GOOD PRODUCT,It's the best choice for travel purpose.
Anil kumar trivedi,Ok,Ok
Good product and quality.,Product,Good quality product
Mallika (Wife of Srikumar Bhattacharyya),Cold weather,"Boiling water for tea & coffee.we are senior
citizen so it’s very helpful product.
Pl do it as soon as possible.
Thank you."
Dhanraj,Good product,Good product and value for money
jigyasa sharma,No latch to hold lid but great price point,"For its price point,it's great, but it's difficult to keep the lid open when you are pouring water into it.You need to basically hold the lid and then let it fill up.This is honestly very irritating, and I would have loved it if it had something to hold the latch.Otherwise, you can buy."
Shiny,Need Amazon to focus if the product has warenty,"Sir it was useful for 3,4 times after that when ever I plug it our power supply dropping inverter sounds a lot if I plug out we r able to get the electricity back again. So I stopped using it . I have warenty please proceed sir / ma'am."
S Abhisekhar Reddy,Good,Nice
Shwetha H V,Good product,Good product
Adhichelvam,தரமான பொருள்,நல்லா இருக்கு ...
Nice product,Best product in affordable price,I m so happy after bought this product
Sibani,Good product,It's a good product in affordable price
Pawan Kumar,Worth it,I like this product and it will really help me to get enough water through out the day
,Great Product,Does the job.. working as expected 👍
HP,Nice,Nice
,Electric kettle,Nice product. Value For Money.
hemant kumar,"Very useful, boil water in few seconds only!","Very useful, boil water in few seconds only! Just the problem is it sound little weird in first 5 seconds then I have to switch off and again switch on and then sound will not come."
Ganesh Vijayaraghavan,Best produts,Best produts
VAISHALI MEHTA,Useful,Almost good
Rahul Kumar Gupta,Value for money for hostel student,Value for money
Kanhaiya,Good product,Good performance
SAYAN,Good,"Nice product,,"
